'l	ɛ l l e
'mpiastro	m p j a s t r o
'mprenta	m p r ɛ n t a
'mpresso	m p r ɛ ss o
'n	ɛ n n e
'ncendio	n tʃ e n d i o
'ndarno	n d a r n o
'ndugiai	n d ʊ dʒ a j
'nferno	n f ɛ r n o
'nfin	n f i n
'nfino	n f i n o
'ngegno	n dʒ e ɲ ɲ o
'nsidie	n s i d j e
'ntanto	n t a n t o
'ntelletti	n t e l l e tː ɪ
'ntelletto	n t e l l e tː o
'ntendi	n t ɛ n d ɪ
'ntento	n t ɛ n t o
'ntese	n t e z e
'ntesi	n t e z ɪ
'ntorno	n t ɔ r n o
'ntrammo	n t r a m m o
'ntrona	n t r o n a
'nverso	n v ɛ r s o
'nvidio	n v i d i o
'nvoglia	n v o ʎ a
'nvolti	n v ɔ l t ɪ
a	aː
a'	aː
a'capelli	a k a p ɛ l l ɪ
a'comandamenti	a k o m a n d a m e n t ɪ
a'fìgliuoli	a f i ʎ ʊ o l ɪ
a'oì	a o i
a'tristi	a t r i s t ɪ
a'tuoi	a t ʊ ɔ i
a-aspettavo	a a s p e tː a v o
aa	a a
aaahhh	a a a
ab	a b
abadessa	a b a d e ss a
abandona	a b a n d o n a
abandonati	a b a n d o n a t ɪ
abandoni	a b a n d o n ɪ
abasso	a b a ss o
abate	a b a t e
abatucci	a b a t u tʃː ɪ
abbacchia	a bː a kː i a
abbacchiate	a bː a kː j a t e
abbacchiato	a bː a kː j a t o
abbacchiatori	a bː a kː j a t o r ɪ
abbacchiava	a bː a kː j a v a
abbacchiavano	a bː a kː j a v a n o
abbacchio	a bː a kː i o
abbacinata	a bː a tʃ i n a t a
abbacinato	a bː a tʃ i n a t o
abbadatele	a bː a d a t e l e
abbagli	a bː a ʎ ɪ
abbaglia	a bː a ʎ a
abbagliandosi	a bː a ʎ a n d o z ɪ
abbagliante	a bː a ʎ a n t e
abbaglianti	a bː a ʎ a n t ɪ
abbagliata	a bː a ʎ a t a
abbagliati	a bː a ʎ a t ɪ
abbagliato	a bː a ʎ a t o
abbagliava	a bː a ʎ a v a
abbaglio	a bː a ʎ o
abbaia	a bː a i a
abbaiamento	a bː a j a m e n t o
abbaiando	a bː a j a n d o
abbaiano	a bː a j a n o
abbaiar	a bː a j a r
abbaiare	a bː a j a r e
abbaiarono	a bː a j a r o n o
abbaiasse	a bː a j a ss e
abbaiate	a bː a j a t e
abbaiato	a bː a j a t o
abbaiatori	a bː a j a t o r ɪ
abbaiava	a bː a j a v a
abbaiavano	a bː a j a v a n o
abbaierai	a bː a j e r aː ɪ
abbaino	a bː a iː n o
abbaio	a bː a i o
abbajamenti	a bː a j a m e n t ɪ
abbajando	a bː a j a n d o
abbajare	a bː a j a r e
abbajasse	a bː a j a ss e
abbajassero	a bː a j a ss e r o
abbajava	a bː a j a v a
abbajò	a bː a j ɔ
abballinate	a bː a l l i n a t e
abballottavano	a bː a l l o tː a v a n o
abbandona	a bː a n d o n a
abbandonai	a bː a n d o n a j
abbandonammo	a bː a n d o n a m m o
abbandonando	a bː a n d o n a n d o
abbandonandola	a bː a n d o n a n d o l a
abbandonandosi	a bː a n d o n a n d o z ɪ
abbandonano	a bː a n d ɔ n a n o
abbandonar	a bː a n d o n a r
abbandonare	a bː a n d o n a r e
abbandonarla	a bː a n d o n a r l a
abbandonarle	a bː a n d o n a r l e
abbandonarlo	a bː a n d o n a r l o
abbandonarmi	a bː a n d o n a r m ɪ
abbandonarono	a bː a n d o n a r o n o
abbandonarsi	a bː a n d o n a r s ɪ
abbandonarti	a bː a n d o n a r t ɪ
abbandonasse	a bː a n d o n a ss e
abbandonassi	a bː a n d o n a ss ɪ
abbandonasti	a bː a n d o n a s t ɪ
abbandonata	a bː a n d o n a t a
abbandonate	a bː a n d o n a t e
abbandonati	a bː a n d o n a t ɪ
abbandonato	a bː a n d o n a t o
abbandonava	a bː a n d o n a v a
abbandonavano	a bː a n d o n a v a n o
abbandonavasi	a bː a n d o n a v a z ɪ
abbandonavo	a bː a n d o n a v o
abbandonerebbe	a bː a n d o n e r ɛ bː e
abbandonerà	a bː a n d o n e ɾ a
abbandoni	a bː a n d o n ɪ
abbandonino	a bː a n d ɔ n i n o
abbandono	a bː a ŋ d ɔ n o
abbandonò	a bː a n d o n ɔ
abbarbaglia	a bː a r b a ʎ a
abbarbagliamento	a bː a r b a ʎ a m e n t o
abbarbagliante	a bː a r b a ʎ a n t e
abbarbaglianti	a bː a r b a ʎ a n t ɪ
abbarbagliare	a bː a r b a ʎ a r e
abbarbagliata	a bː a r b a ʎ a t a
abbarbagliati	a bː a r b a ʎ a t ɪ
abbarbagliato	a bː a r b a ʎ a t o
abbarbagliava	a bː a r b a ʎ a v a
abbarbaglio	a bː a r b a ʎ o
abbarbagliò	a bː a r b a ʎ ɔ
abbaruffavano	a bː a r ʊ f f a v a n o
abbassa	a bː a ss a
abbassamento	a bː a ss a m e n t o
abbassando	a bː a ss a n d o
abbassandosi	a bː a ss a n d o z ɪ
abbassano	a bː a ss a n o
abbassar	a bː a ss a r
abbassare	a bː a ss a r e
abbassarli	a bː a ss a r l ɪ
abbassarlo	a bː a ss a r l o
abbassarono	a bː a ss a r o n o
abbassarsi	a bː a ss a r s ɪ
abbassata	a bː a ss a t a
abbassate	a bː a ss a t e
abbassati	a bː a ss a t ɪ
abbassato	a bː a ss a t o
abbassava	a bː a ss a v a
abbasserà	a bː a ss e ɾ a
abbassi	a bː a ss ɪ
abbasso	a bː a ss o
abbassorono	a bː a ss ɔ r o n o
abbassò	a bː a ss ɔ
abbastanza	a bː a s t a n ts a
abbate	a bː a t e
abbatte	a bː a tː e
abbattendo	a bː a tː ɛ n d o
abbattendosi	a bː a tː e n d o z ɪ
abbatterci	a bː a tː e r tʃ ɪ
abbattere	a bː a tː e r e
abbatteremo	a bː a tː e r ɛ m o
abbatterlo	a bː a tː e r l o
abbattervi	a bː a tː e r v ɪ
abbatterà	a bː a tː e ɾ a
abbatteva	a bː a tː ɛ v a
abbattevano	a bː a tː e v a n o
abbattimento	a bː a tː i m e n t o
abbattuta	a bː a tː u t a
abbattute	a bː a tː u t e
abbattuti	a bː a tː u t ɪ
abbattuto	a bː a tː u t o
abbattè	a bː a tː ɛ
abbatuffolati	a bː a t ʊ f f o l a t ɪ
abbatuffolato	a bː a t ʊ f f o l a t o
abbazia	a bː a ts i a
abbecedario	a bː e tʃ e d a r i o
abbella	a bː ɛ l l a
abbellendo	a bː e l l ɛ n d o
abbellir	a bː e l l i r
abbellire	a bː e l l i r e
abbellirà	a bː e l l i ɾ a
abbellisce	a bː e l l i ʃ e
abbellita	a bː e l l i t a
abbellite	a bː e l l i t e
abbelliva	a bː e l l i v a
abbellivano	a bː e l l i v a n o
abbeverare	a bː e v e r a r e
abbeverata	a bː e v e r a t a
abbeveravano	a bː e v e r a v a n o
abbi	a bː ɪ
abbia	a bː i a
abbiain	a bː j aɪ n
abbiam	a bː j a m
abbiamo	a bː j a m o
abbian	a bː j a n
abbiano	a bː j a n o
abbiate	a bː j a t e
abbica	a bː i k a
abbietta	a bː j e tː a
abbiette	a bː j e tː e
abbietti	a bː j e tː ɪ
abbietto	a bː j e tː o
abbiezione	a bː j e ts i o n e
abbigliamenti	a bː i ʎ a m e n t ɪ
abbigliamento	a bː i ʎ a m e n t o
abbigliare	a bː i ʎ a r e
abbigliarsi	a bː i ʎ a r s ɪ
abbigliata	a bː i ʎ a t a
abbigliate	a bː i ʎ a t e
abbigliato	a bː i ʎ a t o
abbigliatura	a bː i ʎ a t u r a
abbigliature	a bː i ʎ a t u r e
abbilo	a bː i l o
abbindolare	a bː i n d o l a r e
abbino	a bː i n o
abbisogna	a bː i z o ɲ ɲ a
abbisognassero	a bː i z o ɲ a ss e r o
abbisognava	a bː i z o ɲ a v a
abbocca	a bː ɔ kː a
abboccamento	a bː o kː a m e n t o
abboccando	a bː o kː a n d o
abboccare	a bː o kː a r e
abboccarsi	a bː o kː a r s ɪ
abboccata	a bː o kː a t a
abboccati	a bː o kː a t ɪ
abboccato	a bː o kː a t o
abboccava	a bː o kː a v a
abboccavano	a bː o kː a v a n o
abboccherebbero	a bː o kː e r e bː e r o
abboccherà	a bː o kː e ɾ a
abbominevole	a bː o m i n e v o l e
abbominevoli	a bː o m i n e v o l ɪ
abbomino	a bː o m i n o
abbonacciato	a bː o n a tʃː a t o
abbonamento	a bː o n a m e n t o
abbonarsi	a bː o n a r s ɪ
abbonata	a bː o n a t a
abbonati	a bː o n a t ɪ
abbonato	a bː o n a t o
abbonda	a bː o n d a
abbondai	a bː o n d a j
abbondano	a bː ɔ n d a n o
abbondante	a bː o n d a n t e
abbondantemente	a bː o n d a n t e m e n t e
abbondanti	a bː o n d a n t ɪ
abbondantissima	a bː o n d a n t i ss i m a
abbondantissime	a bː o n d a n t i ss i m e
abbondanza	a bː o n d a n ts a
abbondare	a bː o n d a r e
abbondato	a bː o n d a t o
abbondavano	a bː o n d a v a n o
abbondevole	a bː o n d e v o l e
abbondevolmente	a bː o n d e v o l m e n t e
abbondiamo	a bː o n d j a m o
abbondio	a bː o n d i o
abbono	a bː o n o
abborra	a bː ɔ r ɾ a
abborre	a bː ɔ r ɾ e
abborri	a bː ɔ r ɾ ɪ
abborria	a bː ɔ r ɾ i a
abborrono	a bː ɔ r ɾ o n o
abbottati	a bː o tː a t ɪ
abbottona	a bː o tː o n a
abbottonai	a bː o tː o n a j
abbottonami	a bː o tː o n a m ɪ
abbottonandosi	a bː o tː o n a n d o z ɪ
abbottonarti	a bː o tː o n a r t ɪ
abbottonata	a bː o tː o n a t a
abbottonati	a bː o tː o n a t ɪ
abbottonato	a bː o tː o n a t o
abbottonava	a bː o tː o n a v a
