a	eɪ
abaui	ɐ b ɔː i
abe	eɪ b
abechongrineun	ɐ b ɛ tʃ ə ŋ ɡ ɹ aɪ n ʌ n
abeoji	ɐ b ɪ əʊ dʒ i
abeojiga	ɐ b ɪ ɒ dʒ ɪ ɡ ə
abeojiin	ɐ b ɪ əʊ dʒ ɪ ɪ n
abeojineun	ɐ b ɪ ɒ dʒ aɪ n ʌ n
abeojireul	ɐ b ɪ ɒ dʒ aɪə ɹ ʌ l
abudabiui	ɐ b j uː d eɪ b ɪ j uː i
acheongbeobi	eɪ k ə ŋ b ɪ əʊ b aɪ
achim	ɐ tʃ ɪ m
achime	ɐ tʃ aɪ m
achimeul	ɐ tʃ aɪ m ʌ l
achimeun	ɐ tʃ aɪ m ʌ n
adamgwa	a d a m ɡ w ə
adeul	ɐ d j uː l
adeuldeuldo	ɐ d j uː l d j uː l d əʊ
adeulgwa	ɐ d j uː l ɡ w ə
adeulhante	ɐ d j uː l h ɑː n t eɪ
adeulppeorinde	ɐ d j uː l p ɪ ɔː ɹ ɪ n d
adeulro	ɐ d j uː l ɹ əʊ
adeurege	ɐ d j uː ɹ ɛ dʒ
adeureul	ɐ d j uː ɹ uː l
adeureun	ɐ d j uː ɹ uː n
adeuri	ɐ d j uː ɹ i
adeurirago	ɐ d j uː ɹ ə ɹ eɪ ɡ əʊ
adeurui	ɐ d j uː ɹ uː i
adidaseuneun	a d ɪ d a s j uː n j uː n
adong	a d ɒ ŋ
adongboho	a d ə ŋ b əʊ h əʊ
adongegeneun	a d ə n dʒ ɛ dʒ ə n j uː n
aebeolreui	iː b ɪ ɒ l ɹ uː i
aebeuro	iː b j uː ɹ əʊ
aebina	iː b iː n ə
aecheoroul	iː tʃ ɪ ɔː ɹ aʊ l
aecho	iː tʃ əʊ
aega	iː ɡ ə
aegi	iː ɡ ɪ
aegukjeok	iː ɡ ə k dʒ ɪ ɒ k
aeguksimmaneun	iː ɡ ə k s ɪ m ɐ n j uː n
aegyeongedo	iː dʒ j əʊ ŋ d əʊ
aehogadeurege	iː h ə ɡ a d j uː ɹ ɛ dʒ
aekche	iː k tʃ
aekchee	iː k tʃ iː
aekchega	iː k tʃ ɛ ɡ ə
aekcheryue	iː k tʃ ə j j uː
aekkujeun	iː k j uː dʒ j uː n
aekmyeongaro	iː k m j əʊ ŋ ɡ a ɹ əʊ
aeksuga	iː k s j uː ɡ ə
aeksuida	iː k s uː ɪ d ə
