-o	ɔ
a	a
a'onze	ɐ o ŋ z ɨ
aa	a ɐ
aacceitar	ɐ ɐ s eɪ t a ɹ
aaqucnlar	ɐ ɐ k u k n l a ɹ
aasento	ɐ ɐ z eɪ ŋ t ʊ
aaul	ɐ aʊ l
aba	a b ɐ
abacateiros	ɐ b ɐ k ɐ t eɪ ɾ ʊ ʃ
abacates	ɐ b ɐ k a t ɨ ʃ
abacaxi	ɐ b ɐ k ɐ ʃ i
abacaxis	ɐ b ɐ k ɐ ʃ i ʃ
abadados	ɐ b ɐ d a d ʊ ʃ
abade	ɐ b a d ɨ
abades	ɐ b a d ɨ ʃ
abaeté	ɐ b ɐ ɨ t ɛ
abafa	ɐ b a f ɐ
abafada	ɐ b ɐ f a d ɐ
abafadas	ɐ b ɐ f a d ɐ ʃ
abafadiço	ɐ b ɐ f ɐ d i s ʊ
abafado	ɐ b ɐ f a d ʊ
abafados	ɐ b ɐ f a d ʊ ʃ
abafam	ɐ b a f ɐ̃ʊ̃
abafamento	ɐ b ɐ f ɐ m eɪ ŋ t ʊ
abafando	ɐ b ɐ f ɐ̃ ŋ d ʊ
abafar	ɐ b ɐ f a ɹ
abafara	ɐ b ɐ f a ɾ ɐ
abafas	ɐ b a f ɐ ʃ
abafava	ɐ b ɐ f a v ɐ
abafavam	ɐ b ɐ f a v ɐ̃ʊ̃
abafavas	ɐ b ɐ f a v ɐ ʃ
abafou	ɐ b ɐ f o w
abaftados	ɐ b ɐ f t a d ʊ ʃ
abafteceu	ɐ b ɐ f t ɨ s eʊ
abainhar	ɐ b ɐ i ɲ a ɹ
abaixa	ɐ b aɪ ʃ ɐ
abaixa-te	ɐ b aɪ ʃ ɐ t ɨ
abaixando	ɐ b aɪ ʃ ɐ̃ ŋ d ʊ
abaixando-se	ɐ b aɪ ʃ ɐ̃ ŋ d ʊ s ɨ
abaixar	ɐ b aɪ ʃ a ɹ
abaixaram	ɐ b aɪ ʃ a ɾ ɐ̃ʊ̃
abaixaria	ɐ b aɪ ʃ ɐ ɾ i ɐ
abaixava	ɐ b aɪ ʃ a v ɐ
abaixavam	ɐ b aɪ ʃ a v ɐ̃ʊ̃
abaixe	ɐ b aɪ ʃ ɨ
