а	ɑ
аа	ɑ a
ааа	a ɑ a
аарона	a a r o n a
абажуром	a b a ʒ u r ʌ m
аббатиков	a b b a tʲ i k ʌ f
аббации	a b b ɑ ts y ɪ
аббацию	a b b ɑ ts y ju
аббация	a b b ɑ ts y ja
аберрацию	a bʲ i r r ɑ ts y ju
абиссинии	a bʲ i sʲ sʲ i nʲ i ɪ
абрамов	a b r ɑ m ʌ f
абруцци	a b r u ts ts ɪ
абруццких	a b r u ts ts kʲ i x
абсолютизации	a p s ʌ ɭʲ u" tʲ i z ʌ ts y ɪ
абсолютизация	a p s ʌ ɭʲ u" tʲ i z ʌ ts y ja
абсолютизируется	a p s ʌ ɭʲ u" tʲ i ʑ i r u j i ts ʌ
абсолютизм	a p s ʌ ɭʲ u" tʲ i z m
абсолютизма	a p s ʌ ɭʲ u" tʲ i z m a
абсолютизмом	a p s ʌ ɭʲ u" tʲ i z m ʌ m
абсолютная	a p s ʌ ɭʲ u" t n ʌ ja
абсолютно	a p s ʌ ɭʲ u" t n ʌ
абсолютного	a p s ʌ ɭʲ u" t n ʌ v ʌ
абсолютное	a p s ʌ ɭʲ u" t n ʌ j ɪ
абсолютной	a p s ʌ ɭʲ u" t n ʌ j
абсолютном	a p s ʌ ɭʲ u" t n ʌ m
абсолютному	a p s ʌ ɭʲ u" t n ʌ m u
абсолютноценного	a p s ʌ ɭʲ u" t n o ts y n n ʌ v ʌ
абсолютную	a p s ʌ ɭʲ u" t n u ju
абсолютные	a p s ʌ ɭʲ u" t n y j ɪ
абсолютным	a p s ʌ ɭʲ u" t n y m
абсолютными	a p s ʌ ɭʲ u" t n y mʲ ɪ
абсолютных	a p s ʌ ɭʲ u" t n y x
абстрактно	a p s t r ɑ k t n ʌ
абстракции	a p s t r ɑ k ts y ɪ
абстракция	a p s t r ɑ k ts y ja
абя	ɑ bʲ ʌ
авалов	a v ɑ ɭ ʌ f
авангард	a v a n ɡ ɑ r t
авангарда	a v a n ɡ ɑ r d a
аванпостные	a v a n p o s t n y j ɪ
авантажу	a v ɑ n t ʌ ʒ u
аванти	a v ɑ n tʲ ɪ
авантюризма	a v ʌ n tʲ u" rʲ i z m a
авантюристы	a v ʌ n tʲ u" rʲ i s t y
авантюру	a v a n tʲ u" r u
аварий	a v ɑ rʲ i j
аватары	a v a t ɑ r y
авва	ɑ v v a
аввакума	a v v a k u m a
август	ɑ v ɡ u s t
августа	ɑ v ɡ u s t a
августе	ɑ v ɡ u sʲ tʲ i
августин	a v ɡ u sʲ tʲ i n
августина	a v ɡ u sʲ tʲ i n a
августовским	ɑ v ɡ u s t ʌ f s kʲ i m
августовскую	ɑ v ɡ u s t ʌ f s k u ju
авдотьи	a v d o tʲ j ɪ
авдотья	a v d o tʲ j ja
авели	a vʲ e ɭʲ ɪ
авель	ɑ vʲ i ɭ
авелю	ɑ vʲ i ɭʲ u"
авенариус	a vʲ i n ɑ rʲ i u s
авенариуса	a vʲ i n ɑ rʲ i u s a
авенариусом	a vʲ i n a rʲ i u s ʌ m
аверину	a vʲ e rʲ i n u
авиатором	a vʲ i ɑ t ʌ r ʌ m
авиаторы	a vʲ i ɑ t ʌ r y
авиноам	a vʲ i n o ʌ m
авксентьевича	a f k sʲ i n tʲ j j e vʲ i tʃʲ ʌ
авось	a v o sʲ
авошников	a v ʌ ʃ nʲ i k ʌ f
авраам	a v r a ɑ m
аврелия	a v rʲ e ɭʲ i ja
аврора	a v r o r a
авроры	a v r o r y
австрии	ɑ f s t rʲ i ɪ
австрийских	a f s t rʲ i j s kʲ i x
австрийского	a f s t rʲ i j s k ʌ v ʌ
австрийской	a f s t rʲ i j s k ʌ j
австрийском	a f s t rʲ i j s k ʌ m
австрийцы	a f s t rʲ i j ts y
австрию	ɑ f s t rʲ i ju
австрия	ɑ f s t rʲ i ja
авто	ɑ f t ʌ
автобиографии	a f t ʌ bʲ i ʌ ɡ r ɑ fʲ i ɪ
автобиографофобия	a f t ʌ bʲ i ʌ ɡ r a f o f ʌ bʲ i ja
автомедон	a f t ʌ mʲ e d ʌ n
автомедоны	a f t ʌ mʲ e d ʌ n y
автомобиле	a f t ʌ m ʌ bʲ i ɭʲ i
автомобили	a f t ʌ m ʌ bʲ i ɭʲ ɪ
автомобилями	a f t ʌ m ʌ bʲ i ɭʲ ʌ mʲ ɪ
автономии	a f t ʌ n o mʲ i ɪ
автономию	a f t ʌ n o mʲ i ju
автономия	a f t ʌ n o mʲ i ja
автономная	a f t ʌ n o m n ʌ ja
автономность	a f t ʌ n o m n ʌ s tʲ
автономны	a f t ʌ n o m n y
автор	ɑ f t ʌ r
автора	ɑ f t ʌ r a
авторами	ɑ f t ʌ r ʌ mʲ ɪ
авторампессимистам	a f t ʌ r ʌ mʲ pʲ i sʲ sʲ i mʲ i s t ʌ m
авторах	ɑ f t ʌ r ʌ x
авторе	ɑ f t ʌ rʲ i
авторитет	a f t ʌ rʲ i tʲ e t
авторитета	a f t ʌ rʲ i tʲ e t a
авторитетно	a f t ʌ rʲ i tʲ e t n ʌ
авторитетное	a f t ʌ rʲ i tʲ e t n ʌ j ɪ
авторитетны	a f t ʌ rʲ i tʲ e t n y
авторитетные	a f t ʌ rʲ i tʲ e t n y j ɪ
авторитетный	a f t ʌ rʲ i tʲ e t n y j
авторитетов	a f t ʌ rʲ i tʲ e t ʌ f
авторитетом	a f t ʌ rʲ i tʲ e t ʌ m
авторитету	a f t ʌ rʲ i tʲ e t u
авторитеты	a f t ʌ rʲ i tʲ e t y
авторов	ɑ f t ʌ r ʌ f
автором	ɑ f t ʌ r ʌ m
авторским	ɑ f t ʌ r s kʲ i m
авторского	ɑ f t ʌ r s k ʌ v ʌ
авторской	ɑ f t ʌ r s k ʌ j
авторскому	ɑ f t ʌ r s k ʌ m u
авторстве	ɑ f t ʌ r s t vʲ i
авторство	ɑ f t ʌ r s t v ʌ
автору	ɑ f t ʌ r u
авторы	ɑ f t ʌ r y
ага	a ɡ ɑ
агамемнона	a ɡ a mʲ e m n ʌ n a
агасфер	a ɡ ɑ s fʲ i r
агасфера	a ɡ ɑ s fʲ i r a
агасферы	a ɡ ɑ s fʲ i r y
агата	a ɡ ɑ t a
агафон	a ɡ a f o n
агафье	a ɡ ɑ f j j ɪ
агафьей	a ɡ ɑ f j j i j
агафьи	a ɡ ɑ f j ɪ
агафью	a ɡ ɑ f j ju
агафья	a ɡ ɑ f j ja
агашка	a ɡ ɑ ʃ k a
агашке	a ɡ ɑ ʃ kʲ i
аггеев	a ɡ ɡʲ e j i f
аггеева	a ɡ ɡʲ e j i v a
аггей	ɑ ɡ ɡʲ i j
аггею	a ɡ ɡʲ e ju
аггея	a ɡ ɡʲ e ja
агентом	a ɡʲ e n t ʌ m
агентства	a ɡʲ e n t s t v a
агенты	a ɡʲ e n t y
агитаторы	a ɡʲ i t ɑ t ʌ r y
агитации	a ɡʲ i t ɑ ts y ɪ
агитационную	a ɡʲ i t a ts y ʌ n n u ju
агитационных	a ɡʲ i t ʌ ts y o n n y x
агитацию	a ɡʲ i t ɑ ts y ju
агитировал	a ɡʲ i tʲ i r ʌ v ʌ ɭ
аглинской	a ɡ ɭʲ i n s k ʌ j
аглицкий	ɑ ɡ ɭʲ i ts kʲ i j
агнец	ɑ ɡ nʲ i ts
агнии	a ɡ nʲ i ɪ
агнца	ɑ ɡ n ts a
агонии	a ɡ o nʲ i ɪ
агония	a ɡ o nʲ i ja
аграрную	a ɡ r ɑ r n u ju
аграрный	a ɡ r ɑ r n y j
аграфена	a ɡ r a fʲ e n a
аграфене	a ɡ r a fʲ e nʲ i
аграфенин	a ɡ r a fʲ e nʲ i n
аграфену	a ɡ r a fʲ e n u
аграфены	a ɡ r a fʲ e n y
агтей	ɑ k tʲ i j
ад	ɑ t
ада	ɑ d a
адам	a d ɑ m
адама	a d ɑ m a
адамдитя	a d ɑ m dʲ i tʲ ʌ
адамов	a d ɑ m ʌ f
адамову	a d ɑ m ʌ v u
адамовых	a d a m o v y x
адамом	a d ɑ m ʌ m
адвокат	a d v ʌ k ɑ t
адвоката	a d v ʌ k ɑ t a
адвокатами	a d v ʌ k ɑ t ʌ mʲ ɪ
адвокате	a d v ʌ k ɑ tʲ i
адвокатом	a d v ʌ k ɑ t ʌ m
адвокатурой	a d v ʌ k a t u r ʌ j
адвокаты	a d v ʌ k ɑ t y
аддиля	a dʲ dʲ i ɭʲ ʌ
аде	ɑ dʲ i
адекватному	a dʲ i k v ɑ t n ʌ m u
адепты	a dʲ e p t y
адехи	a dʲ e x ɪ
административную	a d mʲ i nʲ i s t r a tʲ i v n u ju
административные	a d mʲ i nʲ i s t r a tʲ i v n y j ɪ
административными	a d mʲ i nʲ i s t r a tʲ i v n y mʲ ɪ
административных	a d mʲ i nʲ i s t r a tʲ i v n y x
администратор	a d mʲ i nʲ i s t r ɑ t ʌ r
администраторов	a d mʲ i nʲ i s t r ɑ t ʌ r ʌ f
администратором	a d mʲ i nʲ i s t r ɑ t ʌ r ʌ m
администрации	a d mʲ i nʲ i s t r ɑ ts y ɪ
администрацию	a d mʲ i nʲ i s t r ɑ ts y ju
адмиралтейской	a d mʲ i r a ɭ tʲ e j s k ʌ j
адмиральского	a d mʲ i r ɑ ɭ s k ʌ v ʌ
адой	ɑ d ʌ j
адольф	a d o ɭ f
адом	ɑ d ʌ m
адонис	a d o nʲ i s
адониса	a d ʌ nʲ i s a
адочка	a d o tʃʲ k a
адочке	a d o tʃʲ kʲ i
адрес	ɑ d rʲ i s
адреса	a d rʲ e s a
адресам	a d rʲ i s ɑ m
адресах	a d rʲ i s ɑ x
адресном	ɑ d rʲ i s n ʌ m
адресована	a d rʲ i s o v ʌ n a
адресованные	a d rʲ i s o v ʌ n n y j ɪ
адресом	ɑ d rʲ i s ʌ m
адресу	ɑ d rʲ i s u
адресы	ɑ d rʲ i s y
адриана	a d rʲ i ɑ n a
адриане	a d rʲ i ʌ nʲ i
адриатики	a d rʲ i ɑ tʲ i kʲ ɪ
адриатические	a d rʲ i a tʲ i tʃʲ i s kʲ i j ɪ
адриатической	a d rʲ i a tʲ i tʃʲ i s k ʌ j
адрия	a d rʲ i ja
адриян	a d rʲ i ja n
адрияна	a d rʲ i ja n a
адрияну	a d rʲ i ja n u
адская	ɑ d s k ʌ ja
адски	ɑ d s kʲ ɪ
адским	ɑ d s kʲ i m
адскими	ɑ d s kʲ i mʲ ɪ
адских	ɑ d s kʲ i x
адском	ɑ d s k ʌ m
адскую	ɑ d s k u ju
аду	ɑ d u
адуев	a d u j i f
адуева	a d u j i v a
адуевой	a d u j e v ʌ j
адуеву	a d u j i v u
адуевы	a d u j i v y
адуевым	a d u j e v y m
адуевых	a d u j e v y x
адъюнктом	a d j ju n k t ʌ m
адъютант	a d j ju t ɑ n t
адъютанта	a d j ju t ɑ n t a
адъютантами	a d j ju t ɑ n t ʌ mʲ ɪ
ады	ɑ d y
ажитации	a ʒ y t ɑ ts y ɪ
азарт	a z ɑ r t
азартные	a z ɑ r t n y j ɪ
азартом	a z ɑ r t ʌ m
азбуке	ɑ z b u kʲ i
азбуки	ɑ z b u kʲ ɪ
азбучные	a z b u tʃʲ n y j ɪ
азеф	ɑ ʑ i f
азиатская	a ʑ i ɑ t s k ʌ ja
азиатской	a ʑ i ɑ t s k ʌ j
азиатскую	a ʑ i ɑ t s k u ju
азии	ɑ ʑ i ɪ
азийский	a ʑ i j s kʲ i j
азию	ɑ ʑ i ju
азия	ɑ ʑ i ja
азовом	a z o v ʌ m
азраила	a z r ɑ i ɭ a
азы	a z y
аи	ɑ ɪ
аист	ɑ i s t
ай	ɑ j
айда	a j d ɑ
академизму	a k ʌ dʲ i mʲ i z m u
академии	a k a dʲ e mʲ i ɪ
академий	a k a dʲ e mʲ i j
академиком	a k a dʲ e mʲ i k ʌ m
академическая	a k ʌ dʲ i mʲ i tʃʲ i s k ʌ ja
академический	a k ʌ dʲ i mʲ i tʃʲ i s kʲ i j
академическинастроенных	a k ʌ dʲ i mʲ i tʃʲ i s kʲ i n ɑ s t r ʌ j i n n y x
академию	a k a dʲ e mʲ i ju
академия	a k a dʲ e mʲ i ja
акакиевич	a k ɑ kʲ i j i vʲ i tʃʲ
акакий	a k ɑ kʲ i j
акафист	a k ɑ fʲ i s t
акафиста	a k ɑ fʲ i s t a
акафисты	a k ɑ fʲ i s t y
акацией	a k a ts y j i j
акации	a k ɑ ts y ɪ
акаций	a k ɑ ts y j
акация	a k ɑ ts y ja
акациями	a k ɑ ts y ja mʲ ɪ
акварельной	a k v a rʲ e ɭ n ʌ j
акварельность	a k v a rʲ e ɭ n ʌ s tʲ
акварельный	a k v a rʲ e ɭ n y j
акварий	a k v ɑ rʲ i j
аквариум	a k v ɑ rʲ i u m
аквария	a k v ɑ rʲ i ja
аким	a kʲ i m
акима	a kʲ i m a
акимыч	a kʲ i m y tʃʲ
акимыча	a kʲ i m y tʃʲ ʌ
аккермана	a k kʲ e r m ʌ n a
акклиматизировался	a k k ɭʲ i m ʌ tʲ i ʑ i r ʌ v ʌ ɭ sʲ ʌ
акклиматизируются	a k k ɭʲ i m ʌ tʲ i ʑ i r u ju ts ʌ
аккомпанемент	a k k ʌ m p ʌ nʲ i mʲ e n t
аккомпанементе	a k k ʌ m p ʌ nʲ i mʲ e n tʲ i
аккомпанировал	a k k ʌ m p a nʲ i r ʌ v ʌ ɭ
аккомпанировали	a k k ʌ m p a nʲ i r ʌ v ʌ ɭʲ ɪ
аккомпанируя	a k k ʌ m p a nʲ i r u ja
аккорд	a k k o r t
аккордом	a k k o r d ʌ m
аккорды	a k k o r d y
аккуратная	a k k u r ɑ t n ʌ ja
аккуратно	a k k u r ɑ t n ʌ
аккуратность	a k k u r ɑ t n ʌ s tʲ
аккуратностью	a k k u r ɑ t n ʌ s tʲ j ju
аккуратны	a k k u r ɑ t n y
аккуратный	a k k u r ɑ t n y j
