,	sp 
.	sp 
a	aː 
ai	aː j 
am	aː m 
an	aː n 
ang	aː ŋ 
anh	e ɲ 
ao	aː w 
au	a w 
ay	a j 
ba	 b aː 
bai	 b aː j 
bam	 b aː m 
ban	 b aː n 
bang	 b aː ŋ 
banh	 b e ɲ 
bao	 b aː w 
bau	 b a w 
bay	 b a j 
be	 b ɛ 
bem	 b ɛ m 
ben	 b ɛ n 
beng	 b ɛ ŋ 
beo	 b ɛ w 
bi	 b i 
bia	 b iə 
bim	 b i m 
bin	 b i n 
binh	 b i ɲ 
biu	 b i w 
biêm	 b iɛ m 
biên	 b iɛ n 
biêng	 b iɛ ŋ 
biêu	 b iɛ w 
biếc	 b iɛɜ c 
biệc	 b iɛ6 c 
biếm	 b iɛɜ m 
biềm	 b iɛ2 m 
biểm	 b iɛ4 m 
biễm	 b iɛ5 m 
biệm	 b iɛ6 m 
biến	 b iɛɜ n 
biền	 b iɛ2 n 
biển	 b iɛ4 n 
biễn	 b iɛ5 n 
biện	 b iɛ6 n 
biếng	 b iɛɜ ŋ 
biềng	 b iɛ2 ŋ 
biểng	 b iɛ4 ŋ 
biễng	 b iɛ5 ŋ 
biệng	 b iɛ6 ŋ 
biếp	 b iɛɜ p 
biệp	 b iɛ6 p 
biết	 b iɛɜ t̪ 
biệt	 b iɛ6 t̪ 
biếu	 b iɛɜ w 
biều	 b iɛ2 w 
biểu	 b iɛ4 w 
biễu	 b iɛ5 w 
biệu	 b iɛ6 w 
bo	 b ɔ 
boa	 b w aː 
boai	 b w aː j 
boam	 b w aː m 
boan	 b w aː n 
boang	 b w aː ŋ 
boanh	 b w e ɲ 
boao	 b w aː w 
boay	 b w a j 
boe	 b w ɛ 
boem	 b w ɛ m 
boen	 b w ɛ n 
boeo	 b w ɛ w 
boi	 b ɔ j 
bom	 b ɔ m 
bon	 b ɔ n 
bong	 b ɔ ŋ 
boong	 b ɔ ŋ 
boà	 b w aː2 
boài	 b w aː2 j 
boàm	 b w aː2 m 
boàn	 b w aː2 n 
boàng	 b w aː2 ŋ 
boành	 b w e2 ɲ 
boào	 b w aː2 w 
